cap,total_cost,total_carbon,backorder,optimality,pareto_optimal
8700,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8695,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8690,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8685,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8680,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8675,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8670,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8665,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8660,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8655,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8650,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8645,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8640,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8635,81985.78000000001,93180.25800000003,140.0,OPTIMAL,true
8630,81986.65625643037,93181.43289075051,140.0,OPTIMAL,false
8625,81988.22548356211,93183.53692146417,140.0,OPTIMAL,false
8620,81989.79471069385,93185.64095217783,140.0,OPTIMAL,false
8615,81991.36393782559,93187.74498289148,140.0,OPTIMAL,false
8610,81992.93316495734,93189.84901360514,140.0,OPTIMAL,false
8605,81994.50239208908,93191.95304431877,140.0,OPTIMAL,false
8600,81996.07161922082,93194.05707503243,140.0,OPTIMAL,false
8595,81997.64084635257,93196.16110574608,140.0,OPTIMAL,false
8590,81999.21007348433,93198.26513645973,140.0,OPTIMAL,false
8585,82000.77930061608,93200.36916717337,140.0,OPTIMAL,false
8580,82002.34852774782,93202.47319788703,140.0,OPTIMAL,false
8575,82003.91775487956,93204.57722860068,140.0,OPTIMAL,false
8570,82005.48698201128,93206.68125931431,140.0,OPTIMAL,false
8565,82007.05620914303,93208.78529002798,140.0,OPTIMAL,false
8560,82008.62543627479,93210.88932074163,140.0,OPTIMAL,false
8555,82010.19466340652,93212.99335145527,140.0,OPTIMAL,false
8550,82011.76389053829,93215.09738216891,140.0,OPTIMAL,false
8545,82013.33311767002,93217.20141288258,140.0,OPTIMAL,false
8540,82014.90234480175,93219.30544359623,140.0,OPTIMAL,false
8535,82016.4715719335,93221.40947430987,140.0,OPTIMAL,false
8530,82018.04079906525,93223.51350502351,140.0,OPTIMAL,false
8525,82019.610026197,93225.61753573717,140.0,OPTIMAL,false
8520,82021.17925332872,93227.72156645081,140.0,OPTIMAL,false
8515,82022.74848046046,93229.82559716447,140.0,OPTIMAL,false
8510,82024.31770759223,93231.92962787813,140.0,OPTIMAL,false
8505,82025.88693472397,93234.03365859178,140.0,OPTIMAL,false
8500,82027.45616185572,93236.13768930541,140.0,OPTIMAL,false
8495,82029.02538898746,93238.24172001907,140.0,OPTIMAL,false
8490,82030.5946161192,93240.34575073273,140.0,OPTIMAL,false
8485,82032.16384325094,93242.44978144638,140.0,OPTIMAL,false
8480,82033.7377313718,93244.4640192146,140.0,OPTIMAL,false
8475,82035.31353253617,93246.44140261454,140.0,OPTIMAL,false
8470,82036.88933370053,93248.41878601446,140.0,OPTIMAL,false
8465,82038.46513486489,93250.39616941441,140.0,OPTIMAL,false
8460,82040.04093602925,93252.37355281433,140.0,OPTIMAL,false
8455,82041.61673719362,93254.35093621426,140.0,OPTIMAL,false
8450,82043.19253835797,93256.32831961419,140.0,OPTIMAL,false
8445,82044.76833952231,93258.30570301414,140.0,OPTIMAL,false
8440,82046.34414068668,93260.28308641406,140.0,OPTIMAL,false
8435,82047.91994185104,93262.26046981399,140.0,OPTIMAL,false
8430,82049.4957430154,93264.23785321393,140.0,OPTIMAL,false
8425,82051.07154417977,93266.21523661388,140.0,OPTIMAL,false
8420,82052.64734534413,93268.1926200138,140.0,OPTIMAL,false
8415,82054.22314650846,93270.17000341372,140.0,OPTIMAL,false
8410,82055.79894767283,93272.14738681365,140.0,OPTIMAL,false
8405,82058.23211317828,93271.9127702136,140.0,OPTIMAL,false
8400,82061.74589883877,93268.89015361351,140.0,OPTIMAL,false
8395,82065.25968449925,93265.86753701346,140.0,OPTIMAL,false
8390,82068.77347015974,93262.84492041341,140.0,OPTIMAL,false
8385,82075.61951871205,93259.82230381333,140.0,OPTIMAL,false
8380,82082.7025662532,93256.79968721326,140.0,OPTIMAL,false
8375,82089.78561379439,93253.7770706132,140.0,OPTIMAL,false
8370,82096.86866133555,93250.75445401312,140.0,OPTIMAL,false
8365,82103.95170887673,93247.73183741304,140.0,OPTIMAL,false
8360,82111.03475641788,93244.70922081296,140.0,OPTIMAL,false
8355,82118.11780395907,93241.68660421293,140.0,OPTIMAL,false
8350,82125.20085150025,93238.66398761285,140.0,OPTIMAL,false
8345,82132.2838990414,93235.64137101278,140.0,OPTIMAL,false
8340,82139.36694658258,93232.6187544127,140.0,OPTIMAL,false
8335,82146.44999412374,93229.59613781267,140.0,OPTIMAL,false
8330,82153.53304166494,93226.57352121259,140.0,OPTIMAL,false
8325,82160.6160892061,93223.55090461251,140.0,OPTIMAL,false
8320,82167.69913674727,93220.52828801243,140.0,OPTIMAL,false
8315,82174.78218428844,93217.50567141236,140.0,OPTIMAL,false
8310,82181.86523182961,93214.48305481228,140.0,OPTIMAL,false
8305,82188.94827937079,93211.46043821222,140.0,OPTIMAL,false
8300,82196.03132691194,93208.43782161217,140.0,OPTIMAL,false
8295,82203.24858804535,93206.33862248782,140.11650485436888,OPTIMAL,false
8290,82211.14210413865,93208.89219837404,140.82003658364988,OPTIMAL,false
8285,82219.03562023195,93211.44577426024,141.52356831293085,OPTIMAL,false
8280,82226.92913632526,93213.99935014646,142.22710004221184,OPTIMAL,false
8275,82234.82265241857,93216.55292603267,142.93063177149284,OPTIMAL,false
8270,82242.71616851185,93219.1065019189,143.63416350077384,OPTIMAL,false
8265,82250.60968460517,93221.6600778051,144.33769523005483,OPTIMAL,false
8260,82258.50320069847,93224.2136536913,145.0412269593358,OPTIMAL,false
8255,82266.39671679176,93226.76722957753,145.7447586886168,OPTIMAL,false
8250,82274.29023288506,93229.32080546374,146.4482904178978,OPTIMAL,false
8245,82282.18374897836,93231.87438134995,147.1518221471788,OPTIMAL,false
8240,82290.07726507168,93234.42795723613,147.8553538764598,OPTIMAL,false
8235,82298.01584907829,93237.03808628762,148.55888560574076,OPTIMAL,false
8230,82307.48516633593,93241.56904557376,149.26241733502175,OPTIMAL,false
8225,82316.9544835936,93246.10000485991,149.96594906430275,OPTIMAL,false
8220,82326.42380085126,93250.63096414604,150.66948079358374,OPTIMAL,false
8215,82335.89311810891,93255.16192343218,151.37301252286474,OPTIMAL,false
8210,82345.3624353666,93259.69288271833,152.0765442521457,OPTIMAL,false
8205,82354.83175262426,93264.22384200446,152.7800759814267,OPTIMAL,false
8200,82364.30106988191,93268.75480129062,153.4836077107077,OPTIMAL,false
8195,82373.77038713958,93273.28576057678,154.1871394399887,OPTIMAL,false
8190,82383.23970439725,93277.81671986294,154.8906711692697,OPTIMAL,false
8185,82392.70902165491,93282.34767914905,155.59420289855066,OPTIMAL,false
8180,82402.17833891258,93286.87863843521,156.29773462783166,OPTIMAL,false
8175,82411.64765617024,93291.40959772136,157.00126635711266,OPTIMAL,false
8170,82421.1169734279,93295.94055700749,157.70479808639365,OPTIMAL,false
8165,82430.58629068555,93300.47151629363,158.40832981567465,OPTIMAL,false
8160,82440.05560794321,93305.0024755798,159.11186154495562,OPTIMAL,false
8155,82449.5249252009,93309.53343486594,159.8153932742366,OPTIMAL,false
8150,82458.99424245856,93314.06439415208,160.5189250035176,OPTIMAL,false
8145,82468.46355971623,93318.5953534382,161.2224567327986,OPTIMAL,false
8140,82477.93287697388,93323.12631272437,161.9259884620796,OPTIMAL,false
8135,82487.40219423153,93327.65727201052,162.62952019136057,OPTIMAL,false
8130,82496.8715114892,93332.18823129666,163.33305192064157,OPTIMAL,false
8125,82506.34082874685,93336.7191905828,164.03658364992256,OPTIMAL,false
8120,82515.81014600451,93341.25014986897,164.74011537920356,OPTIMAL,false
8115,82525.30582879101,93342.26476217326,164.99999999999994,OPTIMAL,false
8110,82534.81695627519,93341.21952897313,164.99999999999994,OPTIMAL,false
8105,82544.32808375936,93340.17429577296,164.99999999999994,OPTIMAL,false
8100,82553.83921124355,93339.12906257283,164.99999999999994,OPTIMAL,false
8095,82564.99219919284,93333.8478293727,164.99999999999994,OPTIMAL,false
8090,82576.44131117311,93327.80259617257,164.99999999999994,OPTIMAL,false
8085,82587.89042315344,93321.75736297245,164.99999999999994,OPTIMAL,false
8080,82599.33953513372,93315.71212977229,164.99999999999994,OPTIMAL,false
8075,82610.79767371104,93310.00856530643,164.70847377623392,OPTIMAL,false
8070,82622.26882328172,93304.79748428952,163.99673983149265,OPTIMAL,false
8065,82633.7399728524,93299.58640327261,163.28500588675138,OPTIMAL,false
8060,82645.21112242309,93294.37532225571,162.5732719420101,OPTIMAL,false
8055,82656.68227199378,93289.16424123883,161.8615379972689,OPTIMAL,false
8050,82668.15342156445,93283.95316022192,161.14980405252763,OPTIMAL,false
8045,82679.62457113511,93278.74207920503,160.43807010778636,OPTIMAL,false
8040,82691.5161125827,93265.43223977955,159.7263361630451,OPTIMAL,false
8035,82706.49822610887,93259.34067640625,159.01460221830385,OPTIMAL,false
8030,82722.60603892528,93257.57266351802,158.30286827356258,OPTIMAL,false
8025,82738.71385174162,93255.80465062974,157.59113432882134,OPTIMAL,false
8020,82754.821664558,93254.0366377415,156.87940038408007,OPTIMAL,false
8015,82770.92947737435,93252.26862485327,156.1676664393388,OPTIMAL,false
8010,82787.03729019074,93250.50061196504,155.45593249459753,OPTIMAL,false
8005,82803.14510300707,93248.73259907676,154.74419854985626,OPTIMAL,false
8000,82819.25291582345,93246.9645861885,154.032464605115,OPTIMAL,false
7995,82835.36072863983,93245.19657330026,153.32073066037378,OPTIMAL,false
7990,82851.4685414562,93243.428560412,152.60899671563251,OPTIMAL,false
7985,82867.57635427255,93241.66054752376,151.89726277089125,OPTIMAL,false
7980,82883.81305956484,93239.66378104148,151.18552882614998,OPTIMAL,false
7975,82900.67009834033,93243.09508999695,151.2355343249123,OPTIMAL,false
7970,82917.82511280692,93250.77795231984,151.84326688224064,OPTIMAL,false
7965,82934.9801272735,93258.46081464272,152.45099943956885,OPTIMAL,false
7960,82953.03983861257,93260.28388880324,152.2900335629007,OPTIMAL,false
7955,82974.14607358465,93252.97988061677,151.27545218422648,OPTIMAL,false
7950,82998.69322793097,93246.87432832479,151.69364547584175,OPTIMAL,false
7945,83024.78243651704,93240.7687760328,151.2933726537629,OPTIMAL,false
7940,83051.42868066863,93234.66322374085,151.7099412105673,OPTIMAL,false
7935,83078.15817131335,93220.35862764473,152.1265097673717,OPTIMAL,false
7930,83105.18881682465,93202.14904463911,152.54307832417607,OPTIMAL,false
7925,83134.44433226803,93183.93946163349,152.95964688098044,OPTIMAL,false
7920,83166.2654212599,93165.68022109369,153.37621543778482,OPTIMAL,true
7915,83199.74068570705,93146.66971011792,153.7927839945892,OPTIMAL,true
7910,83233.21595015418,93127.65919914213,154.20935255139358,OPTIMAL,true
7905,83266.69121460135,93108.64868816637,154.62592110819796,OPTIMAL,true
7900,83300.48419245132,93089.63817719056,155.06476046203366,OPTIMAL,true
7895,83335.45504321397,93070.6276662148,155.53815565233853,OPTIMAL,true
7890,83370.42589397657,93051.61715523902,156.0115508426434,OPTIMAL,true
7885,83405.39674473919,93032.60664426323,156.48494603294827,OPTIMAL,true
7880,83440.36759550186,93013.59613328746,156.95834122325314,OPTIMAL,true
7875,83475.33844626445,92994.58562231166,157.431736413558,OPTIMAL,true
7870,83510.30929702708,92975.57511133586,157.90513160386286,OPTIMAL,true
7865,83545.28014778974,92956.5646003601,158.37852679416773,OPTIMAL,true
7860,83580.99272159778,92934.4999113678,158.8519219844726,OPTIMAL,true
7855,83617.05001629918,92904.11943492625,159.32531717477747,OPTIMAL,true
7850,83653.51256595111,92873.73895848465,159.8571941255828,OPTIMAL,true
7845,83697.8249167831,92843.35848204308,160.2721075553872,OPTIMAL,true
7840,83743.97784332378,92812.9780056015,160.74550274569208,OPTIMAL,true
7835,83790.58484268858,92782.59752915995,161.21889793599692,OPTIMAL,true
7830,83837.19184205342,92752.21705271833,161.6922931263018,OPTIMAL,true
7825,83883.79884141822,92721.8365762768,162.16568831660666,OPTIMAL,true
7820,83930.40584078297,92691.45609983518,162.63908350691153,OPTIMAL,true
7815,83977.0128401478,92661.07562339361,163.1124786972164,OPTIMAL,true
7810,84023.67993794501,92611.487,163.58587388752127,OPTIMAL,true
7805,84072.56831778011,92561.48699999996,164.05926907782614,OPTIMAL,true
7800,84121.81508637597,92511.48700000001,164.532664268131,OPTIMAL,true
